Time,PV Productie (W)
15-04-2019 0:00,"0"
15-04-2019 0:15,"0"
15-04-2019 0:30,"0"
15-04-2019 0:45,"0"
15-04-2019 1:00,"0"
15-04-2019 1:15,"0"
15-04-2019 1:30,"0"
15-04-2019 1:45,"0"
15-04-2019 2:00,"0"
15-04-2019 2:15,"0"
15-04-2019 2:30,"0"
15-04-2019 2:45,"0"
15-04-2019 3:00,"0"
15-04-2019 3:15,"0"
15-04-2019 3:30,"0"
15-04-2019 3:45,"0"
15-04-2019 4:00,"0"
15-04-2019 4:15,"0"
15-04-2019 4:30,"0"
15-04-2019 4:45,"0"
15-04-2019 5:00,"0"
15-04-2019 5:15,"0"
15-04-2019 5:30,"0"
15-04-2019 5:45,"0"
15-04-2019 6:00,"0"
15-04-2019 6:15,"0"
15-04-2019 6:30,"0"
15-04-2019 6:45,"0"
15-04-2019 7:00,"0"
15-04-2019 7:15,"65.6667"
15-04-2019 7:30,"128.6667"
15-04-2019 7:45,"191.6667"
15-04-2019 8:00,"252.6667"
15-04-2019 8:15,"405"
15-04-2019 8:30,"602"
15-04-2019 8:45,"574.6667"
15-04-2019 9:00,"758"
15-04-2019 9:15,"824.3333"
15-04-2019 9:30,"911.6667"
15-04-2019 9:45,"1072"
15-04-2019 10:00,"1335.3334"
15-04-2019 10:15,"1548"
15-04-2019 10:30,"1806"
15-04-2019 10:45,"2315.6667"
15-04-2019 11:00,"2785"
15-04-2019 11:15,"2998.3333"
15-04-2019 11:30,"3220"
15-04-2019 11:45,"3991"
15-04-2019 12:00,"4031"
15-04-2019 12:15,"4191.6665"
15-04-2019 12:30,"4257.6665"
15-04-2019 12:45,"4502.6665"
15-04-2019 13:00,"4706.3335"
15-04-2019 13:15,"5086.6665"
15-04-2019 13:30,"5311"
15-04-2019 13:45,"5299.3335"
15-04-2019 14:00,"5464.6665"
15-04-2019 14:15,"5526.6665"
15-04-2019 14:30,"4125.3335"
15-04-2019 14:45,"4993.6665"
15-04-2019 15:00,"3696.3333"
15-04-2019 15:15,"4543"
15-04-2019 15:30,"5624.6665"
15-04-2019 15:45,"5032.3335"
15-04-2019 16:00,"4324.6665"
15-04-2019 16:15,"2885.3333"
15-04-2019 16:30,"4736.3335"
15-04-2019 16:45,"4836.6665"
15-04-2019 17:00,"4754.3335"
15-04-2019 17:15,"4548.6665"
15-04-2019 17:30,"4276.3335"
15-04-2019 17:45,"3950"
15-04-2019 18:00,"3649"
15-04-2019 18:15,"3380"
15-04-2019 18:30,"3039"
15-04-2019 18:45,"2630"
15-04-2019 19:00,"2107.6667"
15-04-2019 19:15,"1612.6666"
15-04-2019 19:30,"1227.6666"
15-04-2019 19:45,"657.3333"
15-04-2019 20:00,"223.6667"
15-04-2019 20:15,"48.6667"
15-04-2019 20:30,"24"
15-04-2019 20:45,"0"
15-04-2019 21:00,"0"
15-04-2019 21:15,"0"
15-04-2019 21:30,"0"
15-04-2019 21:45,"0"
15-04-2019 22:00,"0"
15-04-2019 22:15,"0"
15-04-2019 22:30,"0"
15-04-2019 22:45,"0"
15-04-2019 23:00,"0"
15-04-2019 23:15,"0"
15-04-2019 23:30,"0"
15-04-2019 23:45,"0"
