Time,PV Productie (W)
30-07-2019 0:00,"0"
30-07-2019 0:15,"0"
30-07-2019 0:30,"0"
30-07-2019 0:45,"0"
30-07-2019 1:00,"0"
30-07-2019 1:15,"0"
30-07-2019 1:30,"0"
30-07-2019 1:45,"0"
30-07-2019 2:00,"0"
30-07-2019 2:15,"0"
30-07-2019 2:30,"0"
30-07-2019 2:45,"0"
30-07-2019 3:00,"0"
30-07-2019 3:15,"0"
30-07-2019 3:30,"0"
30-07-2019 3:45,"0"
30-07-2019 4:00,"0"
30-07-2019 4:15,"0"
30-07-2019 4:30,"0"
30-07-2019 4:45,"0"
30-07-2019 5:00,"0"
30-07-2019 5:15,"0"
30-07-2019 5:30,"0"
30-07-2019 5:45,"0"
30-07-2019 6:00,"0"
30-07-2019 6:15,"66"
30-07-2019 6:30,"94.6667"
30-07-2019 6:45,"136.3333"
30-07-2019 7:00,"165.6667"
30-07-2019 7:15,"200.3333"
30-07-2019 7:30,"229"
30-07-2019 7:45,"251.3333"
30-07-2019 8:00,"282.3333"
30-07-2019 8:15,"304.6667"
30-07-2019 8:30,"322"
30-07-2019 8:45,"344.3333"
30-07-2019 9:00,"356"
30-07-2019 9:15,"387.6667"
30-07-2019 9:30,"502"
30-07-2019 9:45,"745.3333"
30-07-2019 10:00,"1061"
30-07-2019 10:15,"1411.6666"
30-07-2019 10:30,"1785.3334"
30-07-2019 10:45,"2163"
30-07-2019 11:00,"2496.6667"
30-07-2019 11:15,"2839.6667"
30-07-2019 11:30,"3145"
30-07-2019 11:45,"3437.3333"
30-07-2019 12:00,"3554"
30-07-2019 12:15,"3948"
30-07-2019 12:30,"4180"
30-07-2019 12:45,"4524.3335"
30-07-2019 13:00,"3811.3333"
30-07-2019 13:15,"5270"
30-07-2019 13:30,"4753.6665"
30-07-2019 13:45,"4882"
30-07-2019 14:00,"5116.3335"
30-07-2019 14:15,"4868.3335"
30-07-2019 14:30,"4099.3335"
30-07-2019 14:45,"5387.6665"
30-07-2019 15:00,"5578.6665"
30-07-2019 15:15,"2649"
30-07-2019 15:30,"1405.3334"
30-07-2019 15:45,"5524"
30-07-2019 16:00,"5389.6665"
30-07-2019 16:15,"5349.3335"
30-07-2019 16:30,"5209"
30-07-2019 16:45,"5079"
30-07-2019 17:00,"4950.3335"
30-07-2019 17:15,"4367"
30-07-2019 17:30,"4423.3335"
30-07-2019 17:45,"4136.6665"
30-07-2019 18:00,"3833.3333"
30-07-2019 18:15,"3394.6667"
30-07-2019 18:30,"1288.3334"
30-07-2019 18:45,"3127.6667"
30-07-2019 19:00,"2787.3333"
30-07-2019 19:15,"2496"
30-07-2019 19:30,"1944.3334"
30-07-2019 19:45,"1015.6667"
30-07-2019 20:00,"443.6667"
30-07-2019 20:15,"362.3333"
30-07-2019 20:30,"259.3333"
30-07-2019 20:45,"75"
30-07-2019 21:00,"39.6667"
30-07-2019 21:15,"50.6667"
30-07-2019 21:30,"0"
30-07-2019 21:45,"0"
30-07-2019 22:00,"0"
30-07-2019 22:15,"0"
30-07-2019 22:30,"0"
30-07-2019 22:45,"0"
30-07-2019 23:00,"0"
30-07-2019 23:15,"0"
30-07-2019 23:30,"0"
30-07-2019 23:45,"0"
