Time,PV Productie (W)
06-05-2019 0:00,"0"
06-05-2019 0:15,"0"
06-05-2019 0:30,"0"
06-05-2019 0:45,"0"
06-05-2019 1:00,"0"
06-05-2019 1:15,"0"
06-05-2019 1:30,"0"
06-05-2019 1:45,"0"
06-05-2019 2:00,"0"
06-05-2019 2:15,"0"
06-05-2019 2:30,"0"
06-05-2019 2:45,"0"
06-05-2019 3:00,"0"
06-05-2019 3:15,"0"
06-05-2019 3:30,"0"
06-05-2019 3:45,"0"
06-05-2019 4:00,"0"
06-05-2019 4:15,"0"
06-05-2019 4:30,"0"
06-05-2019 4:45,"0"
06-05-2019 5:00,"0"
06-05-2019 5:15,"0"
06-05-2019 5:30,"0"
06-05-2019 5:45,"0"
06-05-2019 6:00,"0"
06-05-2019 6:15,"36"
06-05-2019 6:30,"78.6667"
06-05-2019 6:45,"103.3333"
06-05-2019 7:00,"134.3333"
06-05-2019 7:15,"268"
06-05-2019 7:30,"510.6667"
06-05-2019 7:45,"605.3333"
06-05-2019 8:00,"425.6667"
06-05-2019 8:15,"569"
06-05-2019 8:30,"626.3333"
06-05-2019 8:45,"613.3333"
06-05-2019 9:00,"600.3333"
06-05-2019 9:15,"885.3333"
06-05-2019 9:30,"807.3333"
06-05-2019 9:45,"893.6667"
06-05-2019 10:00,"1076"
06-05-2019 10:15,"1397.3334"
06-05-2019 10:30,"1563.3334"
06-05-2019 10:45,"1398"
06-05-2019 11:00,"1235.6666"
06-05-2019 11:15,"2480"
06-05-2019 11:30,"1890"
06-05-2019 11:45,"2066"
06-05-2019 12:00,"1539"
06-05-2019 12:15,"2124"
06-05-2019 12:30,"1310.6666"
06-05-2019 12:45,"1397.3334"
06-05-2019 13:00,"2812.3333"
06-05-2019 13:15,"3969"
06-05-2019 13:30,"4010.3333"
06-05-2019 13:45,"3727.3333"
06-05-2019 14:00,"2302.6667"
06-05-2019 14:15,"4766"
06-05-2019 14:30,"2285"
06-05-2019 14:45,"2031"
06-05-2019 15:00,"2917"
06-05-2019 15:15,"2619"
06-05-2019 15:30,"2030.6666"
06-05-2019 15:45,"3142"
06-05-2019 16:00,"1563"
06-05-2019 16:15,"2178"
06-05-2019 16:30,"1379"
06-05-2019 16:45,"2276.3333"
06-05-2019 17:00,"1164.6666"
06-05-2019 17:15,"1181.3334"
06-05-2019 17:30,"532.3333"
06-05-2019 17:45,"644.3333"
06-05-2019 18:00,"1359"
06-05-2019 18:15,"1031.3334"
06-05-2019 18:30,"488.3333"
06-05-2019 18:45,"416.6667"
06-05-2019 19:00,"394"
06-05-2019 19:15,"576.6667"
06-05-2019 19:30,"656.6667"
06-05-2019 19:45,"397"
06-05-2019 20:00,"243.3333"
06-05-2019 20:15,"130.3333"
06-05-2019 20:30,"87"
06-05-2019 20:45,"59"
06-05-2019 21:00,"11.3333"
06-05-2019 21:15,"0"
06-05-2019 21:30,"0"
06-05-2019 21:45,"0"
06-05-2019 22:00,"0"
06-05-2019 22:15,"0"
06-05-2019 22:30,"0"
06-05-2019 22:45,"0"
06-05-2019 23:00,"0"
06-05-2019 23:15,"0"
06-05-2019 23:30,"0"
06-05-2019 23:45,"0"
