Time,PV Productie (W)
10-08-2019 0:00,"0"
10-08-2019 0:15,"0"
10-08-2019 0:30,"0"
10-08-2019 0:45,"0"
10-08-2019 1:00,"0"
10-08-2019 1:15,"0"
10-08-2019 1:30,"0"
10-08-2019 1:45,"0"
10-08-2019 2:00,"0"
10-08-2019 2:15,"0"
10-08-2019 2:30,"0"
10-08-2019 2:45,"0"
10-08-2019 3:00,"0"
10-08-2019 3:15,"0"
10-08-2019 3:30,"0"
10-08-2019 3:45,"0"
10-08-2019 4:00,"0"
10-08-2019 4:15,"0"
10-08-2019 4:30,"0"
10-08-2019 4:45,"0"
10-08-2019 5:00,"0"
10-08-2019 5:15,"0"
10-08-2019 5:30,"0"
10-08-2019 5:45,"0"
10-08-2019 6:00,"0"
10-08-2019 6:15,"0"
10-08-2019 6:30,"19.3333"
10-08-2019 6:45,"60"
10-08-2019 7:00,"136.6667"
10-08-2019 7:15,"201"
10-08-2019 7:30,"306"
10-08-2019 7:45,"450.3333"
10-08-2019 8:00,"436.3333"
10-08-2019 8:15,"639.3333"
10-08-2019 8:30,"806.3333"
10-08-2019 8:45,"523.3333"
10-08-2019 9:00,"573.6667"
10-08-2019 9:15,"922"
10-08-2019 9:30,"1147.3334"
10-08-2019 9:45,"568.6667"
10-08-2019 10:00,"1281"
10-08-2019 10:15,"695.6667"
10-08-2019 10:30,"1863.3334"
10-08-2019 10:45,"1800"
10-08-2019 11:00,"1426.6666"
10-08-2019 11:15,"2579.3333"
10-08-2019 11:30,"2436.3333"
10-08-2019 11:45,"1563.6666"
10-08-2019 12:00,"3875.3333"
10-08-2019 12:15,"2836.6667"
10-08-2019 12:30,"1875.6666"
10-08-2019 12:45,"1001.3333"
10-08-2019 13:00,"1345.3334"
10-08-2019 13:15,"2587.6667"
10-08-2019 13:30,"3250.6667"
10-08-2019 13:45,"4610.3335"
10-08-2019 14:00,"6042.6665"
10-08-2019 14:15,"6211.6665"
10-08-2019 14:30,"3545.6667"
10-08-2019 14:45,"3522.3333"
10-08-2019 15:00,"4855.6665"
10-08-2019 15:15,"3048.6667"
10-08-2019 15:30,"5692"
10-08-2019 15:45,"5799.6665"
10-08-2019 16:00,"5915.6665"
10-08-2019 16:15,"4297.3335"
10-08-2019 16:30,"5624"
10-08-2019 16:45,"5478.3335"
10-08-2019 17:00,"5233.3335"
10-08-2019 17:15,"5125.3335"
10-08-2019 17:30,"4727.3335"
10-08-2019 17:45,"4380.6665"
10-08-2019 18:00,"3092"
10-08-2019 18:15,"3802.6667"
10-08-2019 18:30,"3403"
10-08-2019 18:45,"2977"
10-08-2019 19:00,"2611"
10-08-2019 19:15,"2248.3333"
10-08-2019 19:30,"1851"
10-08-2019 19:45,"1441.6666"
10-08-2019 20:00,"933"
10-08-2019 20:15,"519.6667"
10-08-2019 20:30,"192.3333"
10-08-2019 20:45,"36"
10-08-2019 21:00,"28.6667"
10-08-2019 21:15,"0"
10-08-2019 21:30,"0"
10-08-2019 21:45,"0"
10-08-2019 22:00,"0"
10-08-2019 22:15,"0"
10-08-2019 22:30,"0"
10-08-2019 22:45,"0"
10-08-2019 23:00,"0"
10-08-2019 23:15,"0"
10-08-2019 23:30,"0"
10-08-2019 23:45,"0"
