Time,PV Productie (W)
17-02-2019 0:00,"0"
17-02-2019 0:15,"0"
17-02-2019 0:30,"0"
17-02-2019 0:45,"0"
17-02-2019 1:00,"0"
17-02-2019 1:15,"0"
17-02-2019 1:30,"0"
17-02-2019 1:45,"0"
17-02-2019 2:00,"0"
17-02-2019 2:15,"0"
17-02-2019 2:30,"0"
17-02-2019 2:45,"0"
17-02-2019 3:00,"0"
17-02-2019 3:15,"0"
17-02-2019 3:30,"0"
17-02-2019 3:45,"0"
17-02-2019 4:00,"0"
17-02-2019 4:15,"0"
17-02-2019 4:30,"0"
17-02-2019 4:45,"0"
17-02-2019 5:00,"0"
17-02-2019 5:15,"0"
17-02-2019 5:30,"0"
17-02-2019 5:45,"0"
17-02-2019 6:00,"0"
17-02-2019 6:15,"0"
17-02-2019 6:30,"0"
17-02-2019 6:45,"0"
17-02-2019 7:00,"0"
17-02-2019 7:15,"0"
17-02-2019 7:30,"0"
17-02-2019 7:45,"0"
17-02-2019 8:00,"0"
17-02-2019 8:15,"78.6667"
17-02-2019 8:30,"91.3333"
17-02-2019 8:45,"131"
17-02-2019 9:00,"252.6667"
17-02-2019 9:15,"400.3333"
17-02-2019 9:30,"652.6667"
17-02-2019 9:45,"984.6667"
17-02-2019 10:00,"1305.6666"
17-02-2019 10:15,"1562.6666"
17-02-2019 10:30,"1956.6666"
17-02-2019 10:45,"2589.3333"
17-02-2019 11:00,"2921"
17-02-2019 11:15,"3015.6667"
17-02-2019 11:30,"3156"
17-02-2019 11:45,"3029"
17-02-2019 12:00,"3757.6667"
17-02-2019 12:15,"3882"
17-02-2019 12:30,"3655.3333"
17-02-2019 12:45,"3922.3333"
17-02-2019 13:00,"4370.6665"
17-02-2019 13:15,"4272"
17-02-2019 13:30,"4494.6665"
17-02-2019 13:45,"4123.3335"
17-02-2019 14:00,"4297.6665"
17-02-2019 14:15,"4053"
17-02-2019 14:30,"3764"
17-02-2019 14:45,"3574.6667"
17-02-2019 15:00,"4109"
17-02-2019 15:15,"3508"
17-02-2019 15:30,"3555"
17-02-2019 15:45,"3780.6667"
17-02-2019 16:00,"3540.3333"
17-02-2019 16:15,"2559.6667"
17-02-2019 16:30,"2338"
17-02-2019 16:45,"2240"
17-02-2019 17:00,"1095.6666"
17-02-2019 17:15,"456"
17-02-2019 17:30,"177.3333"
17-02-2019 17:45,"21.6667"
17-02-2019 18:00,"10"
17-02-2019 18:15,"0"
17-02-2019 18:30,"0"
17-02-2019 18:45,"0"
17-02-2019 19:00,"0"
17-02-2019 19:15,"0"
17-02-2019 19:30,"0"
17-02-2019 19:45,"0"
17-02-2019 20:00,"0"
17-02-2019 20:15,"0"
17-02-2019 20:30,"0"
17-02-2019 20:45,"0"
17-02-2019 21:00,"0"
17-02-2019 21:15,"0"
17-02-2019 21:30,"0"
17-02-2019 21:45,"0"
17-02-2019 22:00,"0"
17-02-2019 22:15,"0"
17-02-2019 22:30,"0"
17-02-2019 22:45,"0"
17-02-2019 23:00,"0"
17-02-2019 23:15,"0"
17-02-2019 23:30,"0"
17-02-2019 23:45,"0"
