Time,PV Productie (W)
08-11-2019 0:00,"0"
08-11-2019 0:15,"0"
08-11-2019 0:30,"0"
08-11-2019 0:45,"0"
08-11-2019 1:00,"0"
08-11-2019 1:15,"0"
08-11-2019 1:30,"0"
08-11-2019 1:45,"0"
08-11-2019 2:00,"0"
08-11-2019 2:15,"0"
08-11-2019 2:30,"0"
08-11-2019 2:45,"0"
08-11-2019 3:00,"0"
08-11-2019 3:15,"0"
08-11-2019 3:30,"0"
08-11-2019 3:45,"0"
08-11-2019 4:00,"0"
08-11-2019 4:15,"0"
08-11-2019 4:30,"0"
08-11-2019 4:45,"0"
08-11-2019 5:00,"0"
08-11-2019 5:15,"0"
08-11-2019 5:30,"0"
08-11-2019 5:45,"0"
08-11-2019 6:00,"0"
08-11-2019 6:15,"0"
08-11-2019 6:30,"0"
08-11-2019 6:45,"0"
08-11-2019 7:00,"0"
08-11-2019 7:15,"0"
08-11-2019 7:30,"0"
08-11-2019 7:45,"0"
08-11-2019 8:00,"58.6667"
08-11-2019 8:15,"95"
08-11-2019 8:30,"154.3333"
08-11-2019 8:45,"280"
08-11-2019 9:00,"473"
08-11-2019 9:15,"735.3333"
08-11-2019 9:30,"1063"
08-11-2019 9:45,"1423"
08-11-2019 10:00,"1755"
08-11-2019 10:15,"2121"
08-11-2019 10:30,"2444.6667"
08-11-2019 10:45,"2756.3333"
08-11-2019 11:00,"3061.3333"
08-11-2019 11:15,"3346"
08-11-2019 11:30,"3565.6667"
08-11-2019 11:45,"3775.3333"
08-11-2019 12:00,"3970.3333"
08-11-2019 12:15,"4102.3335"
08-11-2019 12:30,"4186"
08-11-2019 12:45,"4332.3335"
08-11-2019 13:00,"4490.6665"
08-11-2019 13:15,"4395.6665"
08-11-2019 13:30,"4378.3335"
08-11-2019 13:45,"4295.6665"
08-11-2019 14:00,"3258.6667"
08-11-2019 14:15,"4101"
08-11-2019 14:30,"3924"
08-11-2019 14:45,"3702"
08-11-2019 15:00,"3097.6667"
08-11-2019 15:15,"2943.3333"
08-11-2019 15:30,"2400"
08-11-2019 15:45,"965.3333"
08-11-2019 16:00,"971"
08-11-2019 16:15,"295.6667"
08-11-2019 16:30,"87.6667"
08-11-2019 16:45,"31"
08-11-2019 17:00,"0"
08-11-2019 17:15,"0"
08-11-2019 17:30,"0"
08-11-2019 17:45,"0"
08-11-2019 18:00,"0"
08-11-2019 18:15,"0"
08-11-2019 18:30,"0"
08-11-2019 18:45,"0"
08-11-2019 19:00,"0"
08-11-2019 19:15,"0"
08-11-2019 19:30,"0"
08-11-2019 19:45,"0"
08-11-2019 20:00,"0"
08-11-2019 20:15,"0"
08-11-2019 20:30,"0"
08-11-2019 20:45,"0"
08-11-2019 21:00,"0"
08-11-2019 21:15,"0"
08-11-2019 21:30,"0"
08-11-2019 21:45,"0"
08-11-2019 22:00,"0"
08-11-2019 22:15,"0"
08-11-2019 22:30,"0"
08-11-2019 22:45,"0"
08-11-2019 23:00,"0"
08-11-2019 23:15,"0"
08-11-2019 23:30,"0"
08-11-2019 23:45,"0"
