Time,PV Productie (W)
06-10-2019 0:00,"0"
06-10-2019 0:15,"0"
06-10-2019 0:30,"0"
06-10-2019 0:45,"0"
06-10-2019 1:00,"0"
06-10-2019 1:15,"0"
06-10-2019 1:30,"0"
06-10-2019 1:45,"0"
06-10-2019 2:00,"0"
06-10-2019 2:15,"0"
06-10-2019 2:30,"0"
06-10-2019 2:45,"0"
06-10-2019 3:00,"0"
06-10-2019 3:15,"0"
06-10-2019 3:30,"0"
06-10-2019 3:45,"0"
06-10-2019 4:00,"0"
06-10-2019 4:15,"0"
06-10-2019 4:30,"0"
06-10-2019 4:45,"0"
06-10-2019 5:00,"0"
06-10-2019 5:15,"0"
06-10-2019 5:30,"0"
06-10-2019 5:45,"0"
06-10-2019 6:00,"0"
06-10-2019 6:15,"0"
06-10-2019 6:30,"0"
06-10-2019 6:45,"0"
06-10-2019 7:00,"0"
06-10-2019 7:15,"0"
06-10-2019 7:30,"0"
06-10-2019 7:45,"0"
06-10-2019 8:00,"0"
06-10-2019 8:15,"0"
06-10-2019 8:30,"102"
06-10-2019 8:45,"152.3333"
06-10-2019 9:00,"122"
06-10-2019 9:15,"57"
06-10-2019 9:30,"195"
06-10-2019 9:45,"236.6667"
06-10-2019 10:00,"321.6667"
06-10-2019 10:15,"453"
06-10-2019 10:30,"377.3333"
06-10-2019 10:45,"251.6667"
06-10-2019 11:00,"245"
06-10-2019 11:15,"379"
06-10-2019 11:30,"490.6667"
06-10-2019 11:45,"603.6667"
06-10-2019 12:00,"769"
06-10-2019 12:15,"595.6667"
06-10-2019 12:30,"673.3333"
06-10-2019 12:45,"505.6667"
06-10-2019 13:00,"520"
06-10-2019 13:15,"399.3333"
06-10-2019 13:30,"370.6667"
06-10-2019 13:45,"360.3333"
06-10-2019 14:00,"346.6667"
06-10-2019 14:15,"366"
06-10-2019 14:30,"219.6667"
06-10-2019 14:45,"297.3333"
06-10-2019 15:00,"224.3333"
06-10-2019 15:15,"88.6667"
06-10-2019 15:30,"54.6667"
06-10-2019 15:45,"80"
06-10-2019 16:00,"132.6667"
06-10-2019 16:15,"67.6667"
06-10-2019 16:30,"35.6667"
06-10-2019 16:45,"70.6667"
06-10-2019 17:00,"74"
06-10-2019 17:15,"60.6667"
06-10-2019 17:30,"61.3333"
06-10-2019 17:45,"45.3333"
06-10-2019 18:00,"17.3333"
06-10-2019 18:15,"0"
06-10-2019 18:30,"0"
06-10-2019 18:45,"0"
06-10-2019 19:00,"0"
06-10-2019 19:15,"0"
06-10-2019 19:30,"0"
06-10-2019 19:45,"0"
06-10-2019 20:00,"0"
06-10-2019 20:15,"0"
06-10-2019 20:30,"0"
06-10-2019 20:45,"0"
06-10-2019 21:00,"0"
06-10-2019 21:15,"0"
06-10-2019 21:30,"0"
06-10-2019 21:45,"0"
06-10-2019 22:00,"0"
06-10-2019 22:15,"0"
06-10-2019 22:30,"0"
06-10-2019 22:45,"0"
06-10-2019 23:00,"0"
06-10-2019 23:15,"0"
06-10-2019 23:30,"0"
06-10-2019 23:45,"0"
