Time,PV Productie (W)
21-07-2019 0:00,"0"
21-07-2019 0:15,"0"
21-07-2019 0:30,"0"
21-07-2019 0:45,"0"
21-07-2019 1:00,"0"
21-07-2019 1:15,"0"
21-07-2019 1:30,"0"
21-07-2019 1:45,"0"
21-07-2019 2:00,"0"
21-07-2019 2:15,"0"
21-07-2019 2:30,"0"
21-07-2019 2:45,"0"
21-07-2019 3:00,"0"
21-07-2019 3:15,"0"
21-07-2019 3:30,"0"
21-07-2019 3:45,"0"
21-07-2019 4:00,"0"
21-07-2019 4:15,"0"
21-07-2019 4:30,"0"
21-07-2019 4:45,"0"
21-07-2019 5:00,"0"
21-07-2019 5:15,"0"
21-07-2019 5:30,"0"
21-07-2019 5:45,"0"
21-07-2019 6:00,"56"
21-07-2019 6:15,"72.3333"
21-07-2019 6:30,"110.3333"
21-07-2019 6:45,"191.6667"
21-07-2019 7:00,"179.6667"
21-07-2019 7:15,"230.3333"
21-07-2019 7:30,"268.3333"
21-07-2019 7:45,"302.6667"
21-07-2019 8:00,"395.3333"
21-07-2019 8:15,"521.3333"
21-07-2019 8:30,"333.6667"
21-07-2019 8:45,"341.6667"
21-07-2019 9:00,"588.3333"
21-07-2019 9:15,"543"
21-07-2019 9:30,"605.3333"
21-07-2019 9:45,"892"
21-07-2019 10:00,"1315.6666"
21-07-2019 10:15,"1672"
21-07-2019 10:30,"1992.6666"
21-07-2019 10:45,"2414.3333"
21-07-2019 11:00,"2022"
21-07-2019 11:15,"2237.3333"
21-07-2019 11:30,"3403.6667"
21-07-2019 11:45,"3909.6667"
21-07-2019 12:00,"3261.6667"
21-07-2019 12:15,"4229.6665"
21-07-2019 12:30,"4512"
21-07-2019 12:45,"4626.6665"
21-07-2019 13:00,"4678.3335"
21-07-2019 13:15,"4828"
21-07-2019 13:30,"5059"
21-07-2019 13:45,"5082.3335"
21-07-2019 14:00,"5413"
21-07-2019 14:15,"5167.6665"
21-07-2019 14:30,"5347"
21-07-2019 14:45,"5637"
21-07-2019 15:00,"5433.3335"
21-07-2019 15:15,"5200.3335"
21-07-2019 15:30,"4941"
21-07-2019 15:45,"5200"
21-07-2019 16:00,"5463.3335"
21-07-2019 16:15,"5071"
21-07-2019 16:30,"4930.6665"
21-07-2019 16:45,"4789.6665"
21-07-2019 17:00,"4849.6665"
21-07-2019 17:15,"4461.6665"
21-07-2019 17:30,"4355"
21-07-2019 17:45,"4671.6665"
21-07-2019 18:00,"4352.6665"
21-07-2019 18:15,"3736.6667"
21-07-2019 18:30,"3112.3333"
21-07-2019 18:45,"3387"
21-07-2019 19:00,"2961.6667"
21-07-2019 19:15,"2692.3333"
21-07-2019 19:30,"2102"
21-07-2019 19:45,"2026"
21-07-2019 20:00,"601"
21-07-2019 20:15,"197"
21-07-2019 20:30,"170.6667"
21-07-2019 20:45,"89.3333"
21-07-2019 21:00,"52.3333"
21-07-2019 21:15,"43.6667"
21-07-2019 21:30,"0"
21-07-2019 21:45,"0"
21-07-2019 22:00,"0"
21-07-2019 22:15,"0"
21-07-2019 22:30,"0"
21-07-2019 22:45,"0"
21-07-2019 23:00,"0"
21-07-2019 23:15,"0"
21-07-2019 23:30,"0"
21-07-2019 23:45,"0"
