Time,PV Productie (W)
31-08-2019 0:00,"0"
31-08-2019 0:15,"0"
31-08-2019 0:30,"0"
31-08-2019 0:45,"0"
31-08-2019 1:00,"0"
31-08-2019 1:15,"0"
31-08-2019 1:30,"0"
31-08-2019 1:45,"0"
31-08-2019 2:00,"0"
31-08-2019 2:15,"0"
31-08-2019 2:30,"0"
31-08-2019 2:45,"0"
31-08-2019 3:00,"0"
31-08-2019 3:15,"0"
31-08-2019 3:30,"0"
31-08-2019 3:45,"0"
31-08-2019 4:00,"0"
31-08-2019 4:15,"0"
31-08-2019 4:30,"0"
31-08-2019 4:45,"0"
31-08-2019 5:00,"0"
31-08-2019 5:15,"0"
31-08-2019 5:30,"0"
31-08-2019 5:45,"0"
31-08-2019 6:00,"0"
31-08-2019 6:15,"0"
31-08-2019 6:30,"0"
31-08-2019 6:45,"0"
31-08-2019 7:00,"39.3333"
31-08-2019 7:15,"88.6667"
31-08-2019 7:30,"129.3333"
31-08-2019 7:45,"166"
31-08-2019 8:00,"183"
31-08-2019 8:15,"224.6667"
31-08-2019 8:30,"238.6667"
31-08-2019 8:45,"283.6667"
31-08-2019 9:00,"307"
31-08-2019 9:15,"334.6667"
31-08-2019 9:30,"429.3333"
31-08-2019 9:45,"615.3333"
31-08-2019 10:00,"956"
31-08-2019 10:15,"1343"
31-08-2019 10:30,"1749"
31-08-2019 10:45,"2141"
31-08-2019 11:00,"2477.3333"
31-08-2019 11:15,"2823"
31-08-2019 11:30,"3144"
31-08-2019 11:45,"3409"
31-08-2019 12:00,"3727.3333"
31-08-2019 12:15,"3918.6667"
31-08-2019 12:30,"4146.6665"
31-08-2019 12:45,"4360.6665"
31-08-2019 13:00,"4528.3335"
31-08-2019 13:15,"4694.3335"
31-08-2019 13:30,"4874.3335"
31-08-2019 13:45,"4966.6665"
31-08-2019 14:00,"4890.6665"
31-08-2019 14:15,"4843"
31-08-2019 14:30,"4980.3335"
31-08-2019 14:45,"5038"
31-08-2019 15:00,"4173.3335"
31-08-2019 15:15,"2747"
31-08-2019 15:30,"5130"
31-08-2019 15:45,"4000.3333"
31-08-2019 16:00,"4154"
31-08-2019 16:15,"3919"
31-08-2019 16:30,"4740.6665"
31-08-2019 16:45,"2956"
31-08-2019 17:00,"1076"
31-08-2019 17:15,"604.6667"
31-08-2019 17:30,"382.3333"
31-08-2019 17:45,"747"
31-08-2019 18:00,"1098.6666"
31-08-2019 18:15,"1205"
31-08-2019 18:30,"685.3333"
31-08-2019 18:45,"337.3333"
31-08-2019 19:00,"346.3333"
31-08-2019 19:15,"189.3333"
31-08-2019 19:30,"51.3333"
31-08-2019 19:45,"20.6667"
31-08-2019 20:00,"0"
31-08-2019 20:15,"0"
31-08-2019 20:30,"0"
31-08-2019 20:45,"0"
31-08-2019 21:00,"0"
31-08-2019 21:15,"0"
31-08-2019 21:30,"0"
31-08-2019 21:45,"0"
31-08-2019 22:00,"0"
31-08-2019 22:15,"0"
31-08-2019 22:30,"0"
31-08-2019 22:45,"0"
31-08-2019 23:00,"0"
31-08-2019 23:15,"0"
31-08-2019 23:30,"0"
31-08-2019 23:45,"0"
