Time,PV Productie (W)
06-11-2019 0:00,"0"
06-11-2019 0:15,"0"
06-11-2019 0:30,"0"
06-11-2019 0:45,"0"
06-11-2019 1:00,"0"
06-11-2019 1:15,"0"
06-11-2019 1:30,"0"
06-11-2019 1:45,"0"
06-11-2019 2:00,"0"
06-11-2019 2:15,"0"
06-11-2019 2:30,"0"
06-11-2019 2:45,"0"
06-11-2019 3:00,"0"
06-11-2019 3:15,"0"
06-11-2019 3:30,"0"
06-11-2019 3:45,"0"
06-11-2019 4:00,"0"
06-11-2019 4:15,"0"
06-11-2019 4:30,"0"
06-11-2019 4:45,"0"
06-11-2019 5:00,"0"
06-11-2019 5:15,"0"
06-11-2019 5:30,"0"
06-11-2019 5:45,"0"
06-11-2019 6:00,"0"
06-11-2019 6:15,"0"
06-11-2019 6:30,"0"
06-11-2019 6:45,"0"
06-11-2019 7:00,"0"
06-11-2019 7:15,"0"
06-11-2019 7:30,"0"
06-11-2019 7:45,"0"
06-11-2019 8:00,"33.3333"
06-11-2019 8:15,"49"
06-11-2019 8:30,"81"
06-11-2019 8:45,"201.6667"
06-11-2019 9:00,"239.3333"
06-11-2019 9:15,"296.3333"
06-11-2019 9:30,"708"
06-11-2019 9:45,"1031.6666"
06-11-2019 10:00,"1844.6666"
06-11-2019 10:15,"2368.6667"
06-11-2019 10:30,"1855"
06-11-2019 10:45,"1156.3334"
06-11-2019 11:00,"1010.6667"
06-11-2019 11:15,"2407.3333"
06-11-2019 11:30,"803.3333"
06-11-2019 11:45,"1132.3334"
06-11-2019 12:00,"1036"
06-11-2019 12:15,"2199"
06-11-2019 12:30,"959.6667"
06-11-2019 12:45,"575"
06-11-2019 13:00,"695.3333"
06-11-2019 13:15,"399"
06-11-2019 13:30,"1326"
06-11-2019 13:45,"1312"
06-11-2019 14:00,"1063"
06-11-2019 14:15,"993.6667"
06-11-2019 14:30,"2472"
06-11-2019 14:45,"1393"
06-11-2019 15:00,"3434.3333"
06-11-2019 15:15,"2345"
06-11-2019 15:30,"2211.6667"
06-11-2019 15:45,"1041"
06-11-2019 16:00,"469"
06-11-2019 16:15,"305.6667"
06-11-2019 16:30,"92.6667"
06-11-2019 16:45,"22.6667"
06-11-2019 17:00,"7.3333"
06-11-2019 17:15,"0"
06-11-2019 17:30,"0"
06-11-2019 17:45,"0"
06-11-2019 18:00,"0"
06-11-2019 18:15,"0"
06-11-2019 18:30,"0"
06-11-2019 18:45,"0"
06-11-2019 19:00,"0"
06-11-2019 19:15,"0"
06-11-2019 19:30,"0"
06-11-2019 19:45,"0"
06-11-2019 20:00,"0"
06-11-2019 20:15,"0"
06-11-2019 20:30,"0"
06-11-2019 20:45,"0"
06-11-2019 21:00,"0"
06-11-2019 21:15,"0"
06-11-2019 21:30,"0"
06-11-2019 21:45,"0"
06-11-2019 22:00,"0"
06-11-2019 22:15,"0"
06-11-2019 22:30,"0"
06-11-2019 22:45,"0"
06-11-2019 23:00,"0"
06-11-2019 23:15,"0"
06-11-2019 23:30,"0"
06-11-2019 23:45,"0"
