Time,PV Productie (W)
15-10-2019 0:00,"0"
15-10-2019 0:15,"0"
15-10-2019 0:30,"0"
15-10-2019 0:45,"0"
15-10-2019 1:00,"0"
15-10-2019 1:15,"0"
15-10-2019 1:30,"0"
15-10-2019 1:45,"0"
15-10-2019 2:00,"0"
15-10-2019 2:15,"0"
15-10-2019 2:30,"0"
15-10-2019 2:45,"0"
15-10-2019 3:00,"0"
15-10-2019 3:15,"0"
15-10-2019 3:30,"0"
15-10-2019 3:45,"0"
15-10-2019 4:00,"0"
15-10-2019 4:15,"0"
15-10-2019 4:30,"0"
15-10-2019 4:45,"0"
15-10-2019 5:00,"0"
15-10-2019 5:15,"0"
15-10-2019 5:30,"0"
15-10-2019 5:45,"0"
15-10-2019 6:00,"0"
15-10-2019 6:15,"0"
15-10-2019 6:30,"0"
15-10-2019 6:45,"0"
15-10-2019 7:00,"0"
15-10-2019 7:15,"0"
15-10-2019 7:30,"0"
15-10-2019 7:45,"0"
15-10-2019 8:00,"0"
15-10-2019 8:15,"0"
15-10-2019 8:30,"109.6667"
15-10-2019 8:45,"227.6667"
15-10-2019 9:00,"389.6667"
15-10-2019 9:15,"451.6667"
15-10-2019 9:30,"554.6667"
15-10-2019 9:45,"610"
15-10-2019 10:00,"611.3333"
15-10-2019 10:15,"1244.3334"
15-10-2019 10:30,"672.3333"
15-10-2019 10:45,"944.6667"
15-10-2019 11:00,"1404.3334"
15-10-2019 11:15,"2860.3333"
15-10-2019 11:30,"1503"
15-10-2019 11:45,"662.3333"
15-10-2019 12:00,"407"
15-10-2019 12:15,"229.6667"
15-10-2019 12:30,"393.6667"
15-10-2019 12:45,"607"
15-10-2019 13:00,"1199.3334"
15-10-2019 13:15,"866"
15-10-2019 13:30,"844.3333"
15-10-2019 13:45,"1178.6666"
15-10-2019 14:00,"1575"
15-10-2019 14:15,"525.3333"
15-10-2019 14:30,"428"
15-10-2019 14:45,"412"
15-10-2019 15:00,"372"
15-10-2019 15:15,"558.6667"
15-10-2019 15:30,"491"
15-10-2019 15:45,"394.3333"
15-10-2019 16:00,"220.3333"
15-10-2019 16:15,"216"
15-10-2019 16:30,"169.6667"
15-10-2019 16:45,"128"
15-10-2019 17:00,"143.6667"
15-10-2019 17:15,"124.3333"
15-10-2019 17:30,"198.6667"
15-10-2019 17:45,"89.6667"
15-10-2019 18:00,"39"
15-10-2019 18:15,"44.6667"
15-10-2019 18:30,"0"
15-10-2019 18:45,"0"
15-10-2019 19:00,"0"
15-10-2019 19:15,"0"
15-10-2019 19:30,"0"
15-10-2019 19:45,"0"
15-10-2019 20:00,"0"
15-10-2019 20:15,"0"
15-10-2019 20:30,"0"
15-10-2019 20:45,"0"
15-10-2019 21:00,"0"
15-10-2019 21:15,"0"
15-10-2019 21:30,"0"
15-10-2019 21:45,"0"
15-10-2019 22:00,"0"
15-10-2019 22:15,"0"
15-10-2019 22:30,"0"
15-10-2019 22:45,"0"
15-10-2019 23:00,"0"
15-10-2019 23:15,"0"
15-10-2019 23:30,"0"
15-10-2019 23:45,"0"
