Time,PV Productie (W)
05-12-2019 0:00,"0"
05-12-2019 0:15,"0"
05-12-2019 0:30,"0"
05-12-2019 0:45,"0"
05-12-2019 1:00,"0"
05-12-2019 1:15,"0"
05-12-2019 1:30,"0"
05-12-2019 1:45,"0"
05-12-2019 2:00,"0"
05-12-2019 2:15,"0"
05-12-2019 2:30,"0"
05-12-2019 2:45,"0"
05-12-2019 3:00,"0"
05-12-2019 3:15,"0"
05-12-2019 3:30,"0"
05-12-2019 3:45,"0"
05-12-2019 4:00,"0"
05-12-2019 4:15,"0"
05-12-2019 4:30,"0"
05-12-2019 4:45,"0"
05-12-2019 5:00,"0"
05-12-2019 5:15,"0"
05-12-2019 5:30,"0"
05-12-2019 5:45,"0"
05-12-2019 6:00,"0"
05-12-2019 6:15,"0"
05-12-2019 6:30,"0"
05-12-2019 6:45,"0"
05-12-2019 7:00,"0"
05-12-2019 7:15,"0"
05-12-2019 7:30,"0"
05-12-2019 7:45,"0"
05-12-2019 8:00,"0"
05-12-2019 8:15,"0"
05-12-2019 8:30,"0"
05-12-2019 8:45,"32"
05-12-2019 9:00,"49.3333"
05-12-2019 9:15,"107.6667"
05-12-2019 9:30,"239.6667"
05-12-2019 9:45,"456.6667"
05-12-2019 10:00,"757"
05-12-2019 10:15,"1362.6666"
05-12-2019 10:30,"1710.6666"
05-12-2019 10:45,"1974.3334"
05-12-2019 11:00,"2022.6666"
05-12-2019 11:15,"2062.6667"
05-12-2019 11:30,"2103"
05-12-2019 11:45,"770.3333"
05-12-2019 12:00,"450.6667"
05-12-2019 12:15,"272.6667"
05-12-2019 12:30,"297"
05-12-2019 12:45,"365"
05-12-2019 13:00,"347.6667"
05-12-2019 13:15,"304.3333"
05-12-2019 13:30,"307.3333"
05-12-2019 13:45,"216"
05-12-2019 14:00,"193"
05-12-2019 14:15,"154.3333"
05-12-2019 14:30,"100"
05-12-2019 14:45,"59.3333"
05-12-2019 15:00,"103.3333"
05-12-2019 15:15,"43"
05-12-2019 15:30,"47.3333"
05-12-2019 15:45,"52.6667"
05-12-2019 16:00,"13.3333"
05-12-2019 16:15,"0"
05-12-2019 16:30,"0"
05-12-2019 16:45,"0"
05-12-2019 17:00,"0"
05-12-2019 17:15,"0"
05-12-2019 17:30,"0"
05-12-2019 17:45,"0"
05-12-2019 18:00,"0"
05-12-2019 18:15,"0"
05-12-2019 18:30,"0"
05-12-2019 18:45,"0"
05-12-2019 19:00,"0"
05-12-2019 19:15,"0"
05-12-2019 19:30,"0"
05-12-2019 19:45,"0"
05-12-2019 20:00,"0"
05-12-2019 20:15,"0"
05-12-2019 20:30,"0"
05-12-2019 20:45,"0"
05-12-2019 21:00,"0"
05-12-2019 21:15,"0"
05-12-2019 21:30,"0"
05-12-2019 21:45,"0"
05-12-2019 22:00,"0"
05-12-2019 22:15,"0"
05-12-2019 22:30,"0"
05-12-2019 22:45,"0"
05-12-2019 23:00,"0"
05-12-2019 23:15,"0"
05-12-2019 23:30,"0"
05-12-2019 23:45,"0"
