Time,PV Productie (W)
18-08-2019 0:00,"0"
18-08-2019 0:15,"0"
18-08-2019 0:30,"0"
18-08-2019 0:45,"0"
18-08-2019 1:00,"0"
18-08-2019 1:15,"0"
18-08-2019 1:30,"0"
18-08-2019 1:45,"0"
18-08-2019 2:00,"0"
18-08-2019 2:15,"0"
18-08-2019 2:30,"0"
18-08-2019 2:45,"0"
18-08-2019 3:00,"0"
18-08-2019 3:15,"0"
18-08-2019 3:30,"0"
18-08-2019 3:45,"0"
18-08-2019 4:00,"0"
18-08-2019 4:15,"0"
18-08-2019 4:30,"0"
18-08-2019 4:45,"0"
18-08-2019 5:00,"0"
18-08-2019 5:15,"0"
18-08-2019 5:30,"0"
18-08-2019 5:45,"0"
18-08-2019 6:00,"0"
18-08-2019 6:15,"0"
18-08-2019 6:30,"0"
18-08-2019 6:45,"0"
18-08-2019 7:00,"41.3333"
18-08-2019 7:15,"56.6667"
18-08-2019 7:30,"112.3333"
18-08-2019 7:45,"127"
18-08-2019 8:00,"199.6667"
18-08-2019 8:15,"210"
18-08-2019 8:30,"254"
18-08-2019 8:45,"250.3333"
18-08-2019 9:00,"295.3333"
18-08-2019 9:15,"326"
18-08-2019 9:30,"453.3333"
18-08-2019 9:45,"464.6667"
18-08-2019 10:00,"415"
18-08-2019 10:15,"98"
18-08-2019 10:30,"50.3333"
18-08-2019 10:45,"48.3333"
18-08-2019 11:00,"237.6667"
18-08-2019 11:15,"483.3333"
18-08-2019 11:30,"537.6667"
18-08-2019 11:45,"1016.6667"
18-08-2019 12:00,"885.3333"
18-08-2019 12:15,"754.3333"
18-08-2019 12:30,"815"
18-08-2019 12:45,"1214.3334"
18-08-2019 13:00,"1787.6666"
18-08-2019 13:15,"1524.6666"
18-08-2019 13:30,"692.6667"
18-08-2019 13:45,"487.3333"
18-08-2019 14:00,"1004.6667"
18-08-2019 14:15,"2170.3333"
18-08-2019 14:30,"1824"
18-08-2019 14:45,"2577"
18-08-2019 15:00,"4907"
18-08-2019 15:15,"5227.6665"
18-08-2019 15:30,"4914"
18-08-2019 15:45,"4772.3335"
18-08-2019 16:00,"4072"
18-08-2019 16:15,"2769"
18-08-2019 16:30,"1451"
18-08-2019 16:45,"4466"
18-08-2019 17:00,"3098.6667"
18-08-2019 17:15,"3255"
18-08-2019 17:30,"3620.3333"
18-08-2019 17:45,"4401"
18-08-2019 18:00,"4037.3333"
18-08-2019 18:15,"3792"
18-08-2019 18:30,"2215"
18-08-2019 18:45,"1831.6666"
18-08-2019 19:00,"2416.6667"
18-08-2019 19:15,"488"
18-08-2019 19:30,"1500.6666"
18-08-2019 19:45,"1328.3334"
18-08-2019 20:00,"418.3333"
18-08-2019 20:15,"427"
18-08-2019 20:30,"77.6667"
18-08-2019 20:45,"22"
18-08-2019 21:00,"0"
18-08-2019 21:15,"0"
18-08-2019 21:30,"0"
18-08-2019 21:45,"0"
18-08-2019 22:00,"0"
18-08-2019 22:15,"0"
18-08-2019 22:30,"0"
18-08-2019 22:45,"0"
18-08-2019 23:00,"0"
18-08-2019 23:15,"0"
18-08-2019 23:30,"0"
18-08-2019 23:45,"0"
