Time,PV Productie (W)
29-07-2019 0:00,"0"
29-07-2019 0:15,"0"
29-07-2019 0:30,"0"
29-07-2019 0:45,"0"
29-07-2019 1:00,"0"
29-07-2019 1:15,"0"
29-07-2019 1:30,"0"
29-07-2019 1:45,"0"
29-07-2019 2:00,"0"
29-07-2019 2:15,"0"
29-07-2019 2:30,"0"
29-07-2019 2:45,"0"
29-07-2019 3:00,"0"
29-07-2019 3:15,"0"
29-07-2019 3:30,"0"
29-07-2019 3:45,"0"
29-07-2019 4:00,"0"
29-07-2019 4:15,"0"
29-07-2019 4:30,"0"
29-07-2019 4:45,"0"
29-07-2019 5:00,"0"
29-07-2019 5:15,"0"
29-07-2019 5:30,"0"
29-07-2019 5:45,"0"
29-07-2019 6:00,"0"
29-07-2019 6:15,"56.6667"
29-07-2019 6:30,"90.3333"
29-07-2019 6:45,"141.3333"
29-07-2019 7:00,"189.6667"
29-07-2019 7:15,"228"
29-07-2019 7:30,"273.3333"
29-07-2019 7:45,"304.6667"
29-07-2019 8:00,"326.6667"
29-07-2019 8:15,"410.3333"
29-07-2019 8:30,"462.6667"
29-07-2019 8:45,"438"
29-07-2019 9:00,"481.6667"
29-07-2019 9:15,"528"
29-07-2019 9:30,"640"
29-07-2019 9:45,"857.6667"
29-07-2019 10:00,"1498.6666"
29-07-2019 10:15,"1517.3334"
29-07-2019 10:30,"1854"
29-07-2019 10:45,"1963.3334"
29-07-2019 11:00,"953.6667"
29-07-2019 11:15,"2751.3333"
29-07-2019 11:30,"3204.6667"
29-07-2019 11:45,"1931.3334"
29-07-2019 12:00,"3527.6667"
29-07-2019 12:15,"4094.6667"
29-07-2019 12:30,"4297"
29-07-2019 12:45,"4495"
29-07-2019 13:00,"4713.6665"
29-07-2019 13:15,"4866.3335"
29-07-2019 13:30,"5027"
29-07-2019 13:45,"5167.3335"
29-07-2019 14:00,"5282.6665"
29-07-2019 14:15,"5398"
29-07-2019 14:30,"5387"
29-07-2019 14:45,"5470.6665"
29-07-2019 15:00,"5393.6665"
29-07-2019 15:15,"5419.6665"
29-07-2019 15:30,"5520"
29-07-2019 15:45,"5492"
29-07-2019 16:00,"5575.3335"
29-07-2019 16:15,"5540.6665"
29-07-2019 16:30,"5162.3335"
29-07-2019 16:45,"4885.6665"
29-07-2019 17:00,"4845"
29-07-2019 17:15,"4408.6665"
29-07-2019 17:30,"4167.6665"
29-07-2019 17:45,"4034.3333"
29-07-2019 18:00,"3889.6667"
29-07-2019 18:15,"3643"
29-07-2019 18:30,"3347.3333"
29-07-2019 18:45,"3039"
29-07-2019 19:00,"2707"
29-07-2019 19:15,"2386.6667"
29-07-2019 19:30,"2148.3333"
29-07-2019 19:45,"1817"
29-07-2019 20:00,"1270.3334"
29-07-2019 20:15,"924"
29-07-2019 20:30,"513"
29-07-2019 20:45,"203.3333"
29-07-2019 21:00,"53"
29-07-2019 21:15,"37.3333"
29-07-2019 21:30,"0"
29-07-2019 21:45,"0"
29-07-2019 22:00,"0"
29-07-2019 22:15,"0"
29-07-2019 22:30,"0"
29-07-2019 22:45,"0"
29-07-2019 23:00,"0"
29-07-2019 23:15,"0"
29-07-2019 23:30,"0"
29-07-2019 23:45,"0"
