Time,PV Productie (W)
10-05-2019 0:00,"0"
10-05-2019 0:15,"0"
10-05-2019 0:30,"0"
10-05-2019 0:45,"0"
10-05-2019 1:00,"0"
10-05-2019 1:15,"0"
10-05-2019 1:30,"0"
10-05-2019 1:45,"0"
10-05-2019 2:00,"0"
10-05-2019 2:15,"0"
10-05-2019 2:30,"0"
10-05-2019 2:45,"0"
10-05-2019 3:00,"0"
10-05-2019 3:15,"0"
10-05-2019 3:30,"0"
10-05-2019 3:45,"0"
10-05-2019 4:00,"0"
10-05-2019 4:15,"0"
10-05-2019 4:30,"0"
10-05-2019 4:45,"0"
10-05-2019 5:00,"0"
10-05-2019 5:15,"0"
10-05-2019 5:30,"0"
10-05-2019 5:45,"0"
10-05-2019 6:00,"0"
10-05-2019 6:15,"27.3333"
10-05-2019 6:30,"84.6667"
10-05-2019 6:45,"145"
10-05-2019 7:00,"200"
10-05-2019 7:15,"271.3333"
10-05-2019 7:30,"261.6667"
10-05-2019 7:45,"395.3333"
10-05-2019 8:00,"466.6667"
10-05-2019 8:15,"522.6667"
10-05-2019 8:30,"681.6667"
10-05-2019 8:45,"848.6667"
10-05-2019 9:00,"938.6667"
10-05-2019 9:15,"918"
10-05-2019 9:30,"1052.3334"
10-05-2019 9:45,"1031.6666"
10-05-2019 10:00,"1726.3334"
10-05-2019 10:15,"1493.3334"
10-05-2019 10:30,"1338.3334"
10-05-2019 10:45,"1353.3334"
10-05-2019 11:00,"1719"
10-05-2019 11:15,"2608.6667"
10-05-2019 11:30,"3398"
10-05-2019 11:45,"4538"
10-05-2019 12:00,"2788"
10-05-2019 12:15,"2125.6667"
10-05-2019 12:30,"2715.3333"
10-05-2019 12:45,"2055.6667"
10-05-2019 13:00,"5394"
10-05-2019 13:15,"5457.3335"
10-05-2019 13:30,"6420"
10-05-2019 13:45,"4838"
10-05-2019 14:00,"5793"
10-05-2019 14:15,"4591.6665"
10-05-2019 14:30,"6350.3335"
10-05-2019 14:45,"5084.3335"
10-05-2019 15:00,"4638.3335"
10-05-2019 15:15,"5967.6665"
10-05-2019 15:30,"4266.3335"
10-05-2019 15:45,"4058"
10-05-2019 16:00,"2920.3333"
10-05-2019 16:15,"2419.3333"
10-05-2019 16:30,"3880"
10-05-2019 16:45,"4783"
10-05-2019 17:00,"3861"
10-05-2019 17:15,"4979.6665"
10-05-2019 17:30,"4757.6665"
10-05-2019 17:45,"4451.6665"
10-05-2019 18:00,"4183.6665"
10-05-2019 18:15,"3953.3333"
10-05-2019 18:30,"3609"
10-05-2019 18:45,"3292.6667"
10-05-2019 19:00,"2920.3333"
10-05-2019 19:15,"2530.3333"
10-05-2019 19:30,"2064.6667"
10-05-2019 19:45,"1416"
10-05-2019 20:00,"946"
10-05-2019 20:15,"330.3333"
10-05-2019 20:30,"66.3333"
10-05-2019 20:45,"64"
10-05-2019 21:00,"14"
10-05-2019 21:15,"0"
10-05-2019 21:30,"0"
10-05-2019 21:45,"0"
10-05-2019 22:00,"0"
10-05-2019 22:15,"0"
10-05-2019 22:30,"0"
10-05-2019 22:45,"0"
10-05-2019 23:00,"0"
10-05-2019 23:15,"0"
10-05-2019 23:30,"0"
10-05-2019 23:45,"0"
