Time,PV Productie (W)
30-09-2019 0:00,"0"
30-09-2019 0:15,"0"
30-09-2019 0:30,"0"
30-09-2019 0:45,"0"
30-09-2019 1:00,"0"
30-09-2019 1:15,"0"
30-09-2019 1:30,"0"
30-09-2019 1:45,"0"
30-09-2019 2:00,"0"
30-09-2019 2:15,"0"
30-09-2019 2:30,"0"
30-09-2019 2:45,"0"
30-09-2019 3:00,"0"
30-09-2019 3:15,"0"
30-09-2019 3:30,"0"
30-09-2019 3:45,"0"
30-09-2019 4:00,"0"
30-09-2019 4:15,"0"
30-09-2019 4:30,"0"
30-09-2019 4:45,"0"
30-09-2019 5:00,"0"
30-09-2019 5:15,"0"
30-09-2019 5:30,"0"
30-09-2019 5:45,"0"
30-09-2019 6:00,"0"
30-09-2019 6:15,"0"
30-09-2019 6:30,"0"
30-09-2019 6:45,"0"
30-09-2019 7:00,"0"
30-09-2019 7:15,"0"
30-09-2019 7:30,"0"
30-09-2019 7:45,"0"
30-09-2019 8:00,"40"
30-09-2019 8:15,"73.6667"
30-09-2019 8:30,"172.6667"
30-09-2019 8:45,"297"
30-09-2019 9:00,"353"
30-09-2019 9:15,"428"
30-09-2019 9:30,"181.6667"
30-09-2019 9:45,"171"
30-09-2019 10:00,"243.6667"
30-09-2019 10:15,"890.6667"
30-09-2019 10:30,"793"
30-09-2019 10:45,"2515.6667"
30-09-2019 11:00,"481"
30-09-2019 11:15,"475"
30-09-2019 11:30,"579.6667"
30-09-2019 11:45,"828.6667"
30-09-2019 12:00,"814.6667"
30-09-2019 12:15,"2663"
30-09-2019 12:30,"1799"
30-09-2019 12:45,"1279.6666"
30-09-2019 13:00,"2810.3333"
30-09-2019 13:15,"1054"
30-09-2019 13:30,"4843"
30-09-2019 13:45,"2938.6667"
30-09-2019 14:00,"4238.6665"
30-09-2019 14:15,"665"
30-09-2019 14:30,"3054.3333"
30-09-2019 14:45,"4386.3335"
30-09-2019 15:00,"4519.6665"
30-09-2019 15:15,"4442"
30-09-2019 15:30,"1679"
30-09-2019 15:45,"3071.6667"
30-09-2019 16:00,"2217"
30-09-2019 16:15,"1598.3334"
30-09-2019 16:30,"913"
30-09-2019 16:45,"543.6667"
30-09-2019 17:00,"726"
30-09-2019 17:15,"735.6667"
30-09-2019 17:30,"535.6667"
30-09-2019 17:45,"490"
30-09-2019 18:00,"401"
30-09-2019 18:15,"340.3333"
30-09-2019 18:30,"98.6667"
30-09-2019 18:45,"18.6667"
30-09-2019 19:00,"17.3333"
30-09-2019 19:15,"0"
30-09-2019 19:30,"0"
30-09-2019 19:45,"0"
30-09-2019 20:00,"0"
30-09-2019 20:15,"0"
30-09-2019 20:30,"0"
30-09-2019 20:45,"0"
30-09-2019 21:00,"0"
30-09-2019 21:15,"0"
30-09-2019 21:30,"0"
30-09-2019 21:45,"0"
30-09-2019 22:00,"0"
30-09-2019 22:15,"0"
30-09-2019 22:30,"0"
30-09-2019 22:45,"0"
30-09-2019 23:00,"0"
30-09-2019 23:15,"0"
30-09-2019 23:30,"0"
30-09-2019 23:45,"0"
