Time,PV Productie (W)
04-07-2019 0:00,"0"
04-07-2019 0:15,"0"
04-07-2019 0:30,"0"
04-07-2019 0:45,"0"
04-07-2019 1:00,"0"
04-07-2019 1:15,"0"
04-07-2019 1:30,"0"
04-07-2019 1:45,"0"
04-07-2019 2:00,"0"
04-07-2019 2:15,"0"
04-07-2019 2:30,"0"
04-07-2019 2:45,"0"
04-07-2019 3:00,"0"
04-07-2019 3:15,"0"
04-07-2019 3:30,"0"
04-07-2019 3:45,"0"
04-07-2019 4:00,"0"
04-07-2019 4:15,"0"
04-07-2019 4:30,"0"
04-07-2019 4:45,"0"
04-07-2019 5:00,"0"
04-07-2019 5:15,"0"
04-07-2019 5:30,"16"
04-07-2019 5:45,"65.3333"
04-07-2019 6:00,"58.3333"
04-07-2019 6:15,"136.3333"
04-07-2019 6:30,"165.3333"
04-07-2019 6:45,"181.3333"
04-07-2019 7:00,"211"
04-07-2019 7:15,"246"
04-07-2019 7:30,"265"
04-07-2019 7:45,"279.3333"
04-07-2019 8:00,"296.3333"
04-07-2019 8:15,"315.3333"
04-07-2019 8:30,"325"
04-07-2019 8:45,"339"
04-07-2019 9:00,"359.6667"
04-07-2019 9:15,"413"
04-07-2019 9:30,"592.3333"
04-07-2019 9:45,"921"
04-07-2019 10:00,"1219.6666"
04-07-2019 10:15,"1605.6666"
04-07-2019 10:30,"2013.3334"
04-07-2019 10:45,"2345"
04-07-2019 11:00,"2579.3333"
04-07-2019 11:15,"3060.6667"
04-07-2019 11:30,"3372"
04-07-2019 11:45,"2582"
04-07-2019 12:00,"3104"
04-07-2019 12:15,"3288.3333"
04-07-2019 12:30,"3545"
04-07-2019 12:45,"4431"
04-07-2019 13:00,"4771.6665"
04-07-2019 13:15,"4621.6665"
04-07-2019 13:30,"5108.3335"
04-07-2019 13:45,"5217.3335"
04-07-2019 14:00,"5326.6665"
04-07-2019 14:15,"5321.3335"
04-07-2019 14:30,"5332"
04-07-2019 14:45,"5427.3335"
04-07-2019 15:00,"5302.6665"
04-07-2019 15:15,"5093.6665"
04-07-2019 15:30,"5204"
04-07-2019 15:45,"5359"
04-07-2019 16:00,"5108"
04-07-2019 16:15,"5330.3335"
04-07-2019 16:30,"5233.3335"
04-07-2019 16:45,"4872.6665"
04-07-2019 17:00,"4752.3335"
04-07-2019 17:15,"4135.6665"
04-07-2019 17:30,"4225.6665"
04-07-2019 17:45,"4174"
04-07-2019 18:00,"4081"
04-07-2019 18:15,"3102"
04-07-2019 18:30,"3229.3333"
04-07-2019 18:45,"2105.3333"
04-07-2019 19:00,"1690.6666"
04-07-2019 19:15,"932"
04-07-2019 19:30,"651.3333"
04-07-2019 19:45,"690.6667"
04-07-2019 20:00,"1102.6666"
04-07-2019 20:15,"583.6667"
04-07-2019 20:30,"334.3333"
04-07-2019 20:45,"138"
04-07-2019 21:00,"84"
04-07-2019 21:15,"73.3333"
04-07-2019 21:30,"20"
04-07-2019 21:45,"0"
04-07-2019 22:00,"0"
04-07-2019 22:15,"0"
04-07-2019 22:30,"0"
04-07-2019 22:45,"0"
04-07-2019 23:00,"0"
04-07-2019 23:15,"0"
04-07-2019 23:30,"0"
04-07-2019 23:45,"0"
