Time,PV Productie (W)
19-06-2019 0:00,"0"
19-06-2019 0:15,"0"
19-06-2019 0:30,"0"
19-06-2019 0:45,"0"
19-06-2019 1:00,"0"
19-06-2019 1:15,"0"
19-06-2019 1:30,"0"
19-06-2019 1:45,"0"
19-06-2019 2:00,"0"
19-06-2019 2:15,"0"
19-06-2019 2:30,"0"
19-06-2019 2:45,"0"
19-06-2019 3:00,"0"
19-06-2019 3:15,"0"
19-06-2019 3:30,"0"
19-06-2019 3:45,"0"
19-06-2019 4:00,"0"
19-06-2019 4:15,"0"
19-06-2019 4:30,"0"
19-06-2019 4:45,"0"
19-06-2019 5:00,"0"
19-06-2019 5:15,"0"
19-06-2019 5:30,"21.3333"
19-06-2019 5:45,"107"
19-06-2019 6:00,"160.6667"
19-06-2019 6:15,"164.6667"
19-06-2019 6:30,"171"
19-06-2019 6:45,"245"
19-06-2019 7:00,"369.6667"
19-06-2019 7:15,"517"
19-06-2019 7:30,"783"
19-06-2019 7:45,"909.3333"
19-06-2019 8:00,"893"
19-06-2019 8:15,"199.6667"
19-06-2019 8:30,"92.3333"
19-06-2019 8:45,"32.6667"
19-06-2019 9:00,"54"
19-06-2019 9:15,"62.6667"
19-06-2019 9:30,"33.3333"
19-06-2019 9:45,"0"
19-06-2019 10:00,"0"
19-06-2019 10:15,"29.3333"
19-06-2019 10:30,"88.3333"
19-06-2019 10:45,"347"
19-06-2019 11:00,"1058.6666"
19-06-2019 11:15,"1682.3334"
19-06-2019 11:30,"1654"
19-06-2019 11:45,"3061.6667"
19-06-2019 12:00,"2733.6667"
19-06-2019 12:15,"3390.3333"
19-06-2019 12:30,"2481.3333"
19-06-2019 12:45,"3773"
19-06-2019 13:00,"1827"
19-06-2019 13:15,"3394.3333"
19-06-2019 13:30,"4482"
19-06-2019 13:45,"4907.3335"
19-06-2019 14:00,"1604.3334"
19-06-2019 14:15,"1403.3334"
19-06-2019 14:30,"2145.6667"
19-06-2019 14:45,"724.3333"
19-06-2019 15:00,"369.3333"
19-06-2019 15:15,"637.3333"
19-06-2019 15:30,"764.6667"
19-06-2019 15:45,"1241.3334"
19-06-2019 16:00,"4299"
19-06-2019 16:15,"4125"
19-06-2019 16:30,"4399.3335"
19-06-2019 16:45,"3736.6667"
19-06-2019 17:00,"5073.3335"
19-06-2019 17:15,"5193.3335"
19-06-2019 17:30,"4761.3335"
19-06-2019 17:45,"3873.3333"
19-06-2019 18:00,"1463"
19-06-2019 18:15,"1881.3334"
19-06-2019 18:30,"950.3333"
19-06-2019 18:45,"768.6667"
19-06-2019 19:00,"196.3333"
19-06-2019 19:15,"161.6667"
19-06-2019 19:30,"24.3333"
19-06-2019 19:45,"29.3333"
19-06-2019 20:00,"31.6667"
19-06-2019 20:15,"210.6667"
19-06-2019 20:30,"271.3333"
19-06-2019 20:45,"311.3333"
19-06-2019 21:00,"400"
19-06-2019 21:15,"214.6667"
19-06-2019 21:30,"103.6667"
19-06-2019 21:45,"54.6667"
19-06-2019 22:00,"0"
19-06-2019 22:15,"0"
19-06-2019 22:30,"0"
19-06-2019 22:45,"0"
19-06-2019 23:00,"0"
19-06-2019 23:15,"0"
19-06-2019 23:30,"0"
19-06-2019 23:45,"0"
