Time,PV Productie (W)
26-06-2019 0:00,"0"
26-06-2019 0:15,"0"
26-06-2019 0:30,"0"
26-06-2019 0:45,"0"
26-06-2019 1:00,"0"
26-06-2019 1:15,"0"
26-06-2019 1:30,"0"
26-06-2019 1:45,"0"
26-06-2019 2:00,"0"
26-06-2019 2:15,"0"
26-06-2019 2:30,"0"
26-06-2019 2:45,"0"
26-06-2019 3:00,"0"
26-06-2019 3:15,"0"
26-06-2019 3:30,"0"
26-06-2019 3:45,"0"
26-06-2019 4:00,"0"
26-06-2019 4:15,"0"
26-06-2019 4:30,"0"
26-06-2019 4:45,"0"
26-06-2019 5:00,"0"
26-06-2019 5:15,"0"
26-06-2019 5:30,"28.6667"
26-06-2019 5:45,"25.3333"
26-06-2019 6:00,"118.6667"
26-06-2019 6:15,"173"
26-06-2019 6:30,"193.6667"
26-06-2019 6:45,"316"
26-06-2019 7:00,"318.3333"
26-06-2019 7:15,"375.3333"
26-06-2019 7:30,"384.3333"
26-06-2019 7:45,"457.3333"
26-06-2019 8:00,"619"
26-06-2019 8:15,"562.6667"
26-06-2019 8:30,"687.6667"
26-06-2019 8:45,"865.3333"
26-06-2019 9:00,"832.6667"
26-06-2019 9:15,"1270.3334"
26-06-2019 9:30,"1102"
26-06-2019 9:45,"945"
26-06-2019 10:00,"663"
26-06-2019 10:15,"739.6667"
26-06-2019 10:30,"791"
26-06-2019 10:45,"903.3333"
26-06-2019 11:00,"924.3333"
26-06-2019 11:15,"916.6667"
26-06-2019 11:30,"1248.6666"
26-06-2019 11:45,"1652.6666"
26-06-2019 12:00,"1527"
26-06-2019 12:15,"1635.6666"
26-06-2019 12:30,"2290.6667"
26-06-2019 12:45,"3863.3333"
26-06-2019 13:00,"3615"
26-06-2019 13:15,"5637"
26-06-2019 13:30,"3414.6667"
26-06-2019 13:45,"5215.6665"
26-06-2019 14:00,"5159"
26-06-2019 14:15,"5168"
26-06-2019 14:30,"3463.6667"
26-06-2019 14:45,"4459.6665"
26-06-2019 15:00,"5296.6665"
26-06-2019 15:15,"5334.6665"
26-06-2019 15:30,"5312.6665"
26-06-2019 15:45,"5306"
26-06-2019 16:00,"4634"
26-06-2019 16:15,"3195.3333"
26-06-2019 16:30,"4399.3335"
26-06-2019 16:45,"4846.3335"
26-06-2019 17:00,"5143.3335"
26-06-2019 17:15,"2556.3333"
26-06-2019 17:30,"2683"
26-06-2019 17:45,"4848"
26-06-2019 18:00,"1285.6666"
26-06-2019 18:15,"3567"
26-06-2019 18:30,"3321"
26-06-2019 18:45,"3263"
26-06-2019 19:00,"2230"
26-06-2019 19:15,"2788.6667"
26-06-2019 19:30,"1807"
26-06-2019 19:45,"1048.3334"
26-06-2019 20:00,"499.6667"
26-06-2019 20:15,"662"
26-06-2019 20:30,"263.3333"
26-06-2019 20:45,"189"
26-06-2019 21:00,"76"
26-06-2019 21:15,"89"
26-06-2019 21:30,"54"
26-06-2019 21:45,"0"
26-06-2019 22:00,"0"
26-06-2019 22:15,"0"
26-06-2019 22:30,"0"
26-06-2019 22:45,"0"
26-06-2019 23:00,"0"
26-06-2019 23:15,"0"
26-06-2019 23:30,"0"
26-06-2019 23:45,"0"
