Time,PV Productie (W)
20-03-2019 0:00,"0"
20-03-2019 0:15,"0"
20-03-2019 0:30,"0"
20-03-2019 0:45,"0"
20-03-2019 1:00,"0"
20-03-2019 1:15,"0"
20-03-2019 1:30,"0"
20-03-2019 1:45,"0"
20-03-2019 2:00,"0"
20-03-2019 2:15,"0"
20-03-2019 2:30,"0"
20-03-2019 2:45,"0"
20-03-2019 3:00,"0"
20-03-2019 3:15,"0"
20-03-2019 3:30,"0"
20-03-2019 3:45,"0"
20-03-2019 4:00,"0"
20-03-2019 4:15,"0"
20-03-2019 4:30,"0"
20-03-2019 4:45,"0"
20-03-2019 5:00,"0"
20-03-2019 5:15,"0"
20-03-2019 5:30,"0"
20-03-2019 5:45,"0"
20-03-2019 6:00,"0"
20-03-2019 6:15,"0"
20-03-2019 6:30,"0"
20-03-2019 6:45,"0"
20-03-2019 7:00,"18.6667"
20-03-2019 7:15,"66.6667"
20-03-2019 7:30,"118.3333"
20-03-2019 7:45,"188"
20-03-2019 8:00,"280.6667"
20-03-2019 8:15,"496.3333"
20-03-2019 8:30,"610.6667"
20-03-2019 8:45,"454.3333"
20-03-2019 9:00,"487.3333"
20-03-2019 9:15,"794.3333"
20-03-2019 9:30,"755.6667"
20-03-2019 9:45,"608"
20-03-2019 10:00,"589.3333"
20-03-2019 10:15,"836"
20-03-2019 10:30,"750.6667"
20-03-2019 10:45,"964.3333"
20-03-2019 11:00,"662.3333"
20-03-2019 11:15,"537"
20-03-2019 11:30,"1019"
20-03-2019 11:45,"1229.3334"
20-03-2019 12:00,"1317"
20-03-2019 12:15,"1275.6666"
20-03-2019 12:30,"1290.3334"
20-03-2019 12:45,"1906.6666"
20-03-2019 13:00,"2544.3333"
20-03-2019 13:15,"2551.3333"
20-03-2019 13:30,"2207.3333"
20-03-2019 13:45,"1422.6666"
20-03-2019 14:00,"2328"
20-03-2019 14:15,"2828.3333"
20-03-2019 14:30,"2604"
20-03-2019 14:45,"2705.6667"
20-03-2019 15:00,"2721"
20-03-2019 15:15,"3294.3333"
20-03-2019 15:30,"1453.3334"
20-03-2019 15:45,"2366.6667"
20-03-2019 16:00,"4457.3335"
20-03-2019 16:15,"4293.3335"
20-03-2019 16:30,"3368"
20-03-2019 16:45,"1955.3334"
20-03-2019 17:00,"2141.6667"
20-03-2019 17:15,"2642"
20-03-2019 17:30,"962.6667"
20-03-2019 17:45,"261.6667"
20-03-2019 18:00,"237.3333"
20-03-2019 18:15,"250.6667"
20-03-2019 18:30,"29"
20-03-2019 18:45,"10"
20-03-2019 19:00,"0"
20-03-2019 19:15,"0"
20-03-2019 19:30,"0"
20-03-2019 19:45,"0"
20-03-2019 20:00,"0"
20-03-2019 20:15,"0"
20-03-2019 20:30,"0"
20-03-2019 20:45,"0"
20-03-2019 21:00,"0"
20-03-2019 21:15,"0"
20-03-2019 21:30,"0"
20-03-2019 21:45,"0"
20-03-2019 22:00,"0"
20-03-2019 22:15,"0"
20-03-2019 22:30,"0"
20-03-2019 22:45,"0"
20-03-2019 23:00,"0"
20-03-2019 23:15,"0"
20-03-2019 23:30,"0"
20-03-2019 23:45,"0"
