Time,PV Productie (W)
20-01-2019 0:00,"0"
20-01-2019 0:15,"0"
20-01-2019 0:30,"0"
20-01-2019 0:45,"0"
20-01-2019 1:00,"0"
20-01-2019 1:15,"0"
20-01-2019 1:30,"0"
20-01-2019 1:45,"0"
20-01-2019 2:00,"0"
20-01-2019 2:15,"0"
20-01-2019 2:30,"0"
20-01-2019 2:45,"0"
20-01-2019 3:00,"0"
20-01-2019 3:15,"0"
20-01-2019 3:30,"0"
20-01-2019 3:45,"0"
20-01-2019 4:00,"0"
20-01-2019 4:15,"0"
20-01-2019 4:30,"0"
20-01-2019 4:45,"0"
20-01-2019 5:00,"0"
20-01-2019 5:15,"0"
20-01-2019 5:30,"0"
20-01-2019 5:45,"0"
20-01-2019 6:00,"0"
20-01-2019 6:15,"0"
20-01-2019 6:30,"0"
20-01-2019 6:45,"0"
20-01-2019 7:00,"0"
20-01-2019 7:15,"0"
20-01-2019 7:30,"0"
20-01-2019 7:45,"0"
20-01-2019 8:00,"0"
20-01-2019 8:15,"0"
20-01-2019 8:30,"0"
20-01-2019 8:45,"39.3333"
20-01-2019 9:00,"78.6667"
20-01-2019 9:15,"218.6667"
20-01-2019 9:30,"448.6667"
20-01-2019 9:45,"619.3333"
20-01-2019 10:00,"936.6667"
20-01-2019 10:15,"1467"
20-01-2019 10:30,"1826"
20-01-2019 10:45,"2171"
20-01-2019 11:00,"2493.6667"
20-01-2019 11:15,"2871"
20-01-2019 11:30,"3175"
20-01-2019 11:45,"3455.6667"
20-01-2019 12:00,"3704.3333"
20-01-2019 12:15,"3920"
20-01-2019 12:30,"4094.6667"
20-01-2019 12:45,"4240.3335"
20-01-2019 13:00,"4332.3335"
20-01-2019 13:15,"4440.6665"
20-01-2019 13:30,"4493.6665"
20-01-2019 13:45,"4487.3335"
20-01-2019 14:00,"4501.6665"
20-01-2019 14:15,"4433"
20-01-2019 14:30,"4390.6665"
20-01-2019 14:45,"4199.6665"
20-01-2019 15:00,"3932.3333"
20-01-2019 15:15,"3079.6667"
20-01-2019 15:30,"2741.6667"
20-01-2019 15:45,"2086"
20-01-2019 16:00,"1377"
20-01-2019 16:15,"916.3333"
20-01-2019 16:30,"448.6667"
20-01-2019 16:45,"59.3333"
20-01-2019 17:00,"30.6667"
20-01-2019 17:15,"0"
20-01-2019 17:30,"0"
20-01-2019 17:45,"0"
20-01-2019 18:00,"0"
20-01-2019 18:15,"0"
20-01-2019 18:30,"0"
20-01-2019 18:45,"0"
20-01-2019 19:00,"0"
20-01-2019 19:15,"0"
20-01-2019 19:30,"0"
20-01-2019 19:45,"0"
20-01-2019 20:00,"0"
20-01-2019 20:15,"0"
20-01-2019 20:30,"0"
20-01-2019 20:45,"0"
20-01-2019 21:00,"0"
20-01-2019 21:15,"0"
20-01-2019 21:30,"0"
20-01-2019 21:45,"0"
20-01-2019 22:00,"0"
20-01-2019 22:15,"0"
20-01-2019 22:30,"0"
20-01-2019 22:45,"0"
20-01-2019 23:00,"0"
20-01-2019 23:15,"0"
20-01-2019 23:30,"0"
20-01-2019 23:45,"0"
